trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.5, 'e': 0.497571047891727}",30,0,-48.776696594820386,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.48887208186052755}",20,0,-79.88396621304254,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.48012422902853413}",20,12,-19.574236198130748,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,0,13.951668097719693,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",30,19,13.881309184545895,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,0,-73.84357290858875,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.44466151674170673}",20,0,-56.79868841057192,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.43568244627671204}",30,2,-51.15024134012957,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",25,14,-24.791409236414488,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,18,11.794843045602502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",25,17,3.944788334936768,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",25,0,-77.37303438382449,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.3901516843082303}",30,2,-14.724941213062069,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3809248243668818}",20,10,15.776337534056209,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.371659872260533}",25,11,-27.087099350663845,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3623577544766736}",25,13,-39.400438436150814,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.35301940121933034}",30,17,-9.789181138529173,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,2,-90.73667119239434,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.3342377271245026}",25,13,-41.948660467135596,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",30,0,-10.892695615035798,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,0,-126.27270459968018,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.3058169083782893}",25,7,6.381673655167293,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2962808729253187}",20,0,-15.778581689408139,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.28671520963195546}",20,0,-7.228064249692755,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",25,7,3.033813134248893,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,10,13.285613067284189,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",20,9,-20.389762169848282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",35,8,-95.74948900471254,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 3}",1
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,12,-30.754941677875237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",30,12,16.021353216728404,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,0,6.446311587330036,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",25,4,11.899526546113606,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",20,1,25.712432186085508,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",35,19,34.390964678559456,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17981297767299934}",20,16,7.732723857449477,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,19,11.072818155374634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",25,14,23.29952224491124,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,0,-26.899915295946805,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
